SUBSISTEMA,TIPO INSTITUICAO,COD IES,COD UO,IES,IES UO,ASSOCIACAO,NUMERO REGISTO,CURSO,COD CURSO,ECTS,CNA/CL/CI,DURACAO,TIPO CURSO,COD CNAEF,LMA,REGIME GERAL DE ACESSO,MAIORES 23,DIPLOMADOS DET,DIPLOMADOS TESP,OUTROS CURSOS SUPERIORES,CURSOS DUPLA CERTIFICAÇÃO,MEDICINA PARA LICENCIADOS,ESTUDANTES INTERNACIONAIS,MUDANÇA DE PAR,REGIMES ESPECIAIS,TOTAL VAGAS CE,TOTAL VAGAS
Público,Politécnico,0200,3083,Universidade do Algarve,Universidade do Algarve - Instituto Superior de Engenharia,n/a,R/A-Ef 2371/2011,Engenharia Mecânica,9123,180,CNA,6 Semestres,L1,521,60,20,6,2,6,2,6,0,15,2,1,39,60
Público,Politécnico,0200,3083,Universidade do Algarve,Universidade do Algarve - Instituto Superior de Engenharia,n/a,R/A-Cr 125/2022,Engenharia de Sistemas e Tecnologias Informáticas,L269,180,CNA,6 Semestres,L1,481,57,20,4,1,3,1,6,0,20,1,1,36,57
Público,Politécnico,0200,3087,Universidade do Algarve,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo (Portimão)",n/a,R/A-Ef 2286/2011,Gestão,9147,180,CNA,6 Semestres,L1,345,54,31,4,3,4,2,2,0,5,2,1,22,54
Público,Politécnico,0200,3087,Universidade do Algarve,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo (Portimão)",n/a,R/A-Ef 2510/2011,Gestão (regime noturno),9148,180,CNA,8 Semestres,L1,345,55,20,15,3,3,2,2,0,5,2,3,32,55
Público,Politécnico,0200,3087,Universidade do Algarve,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo (Portimão)",n/a,R/A-Ef 2288/2011,Turismo,9254,180,CNA,6 Semestres,L1,812,65,32,6,3,6,3,2,0,4,6,3,30,65
Público,Politécnico,0200,7035,Universidade do Algarve,Universidade do Algarve - Escola Superior de Saúde,n/a,R/A-Cr 2/2015,Ciências Biomédicas Laboratoriais,L068,240,CNA,8 Semestres,L1,725,49,30,4,0,0,3,0,0,5,5,2,17,49
Público,Politécnico,0200,7035,Universidade do Algarve,Universidade do Algarve - Escola Superior de Saúde,n/a,R/A-Ef 2290/2011,Dietética e Nutrição,8149,240,CNA,8 Semestres,L1,726,49,28,4,0,0,3,0,0,3,3,2,13,43
Público,Politécnico,0200,7035,Universidade do Algarve,Universidade do Algarve - Escola Superior de Saúde,n/a,R/A-Ef 2291/2011,Enfermagem,9500,240,CNA,8 Semestres,L1,723,40,40,0,0,0,0,0,0,0,0,0,0,40
Público,Politécnico,0200,7035,Universidade do Algarve,Universidade do Algarve - Escola Superior de Saúde,n/a,R/A-Ef 2292/2011,Farmácia,9549,240,CNA,8 Semestres,L1,727,45,25,2,0,2,5,0,0,4,5,2,18,45
Público,Politécnico,0200,7035,Universidade do Algarve,Universidade do Algarve - Escola Superior de Saúde,n/a,R/A-Cr 63/2020,Fisioterapia,9504,240,CNA,8 Semestres,L1,726,29,26,1,0,0,0,0,0,1,0,1,2,29
Público,Politécnico,0200,7035,Universidade do Algarve,Universidade do Algarve - Escola Superior de Saúde,n/a,R/A-Cr 122/2014,Imagem Médica e Radioterapia,L066,240,CNA,8 Semestres,L1,725,40,30,3,0,0,2,0,0,3,2,0,10,40
Público,Politécnico,0200,7035,Universidade do Algarve,Universidade do Algarve - Escola Superior de Saúde,n/a,R/A-Cr 156/2024,Terapia da Fala,9890,240,CNA,4 Anos,L1,726,30,25,1,0,0,1,0,0,2,1,0,5,30
Público,Universitário,0200,0201,Universidade do Algarve,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,n/a,R/A-Cr 2336/2011,Artes Visuais,9817,180,CNA,3 anos,L1,211,40,27,2,0,0,2,2,0,2,3,2,11,40
Público,Universitário,0200,0201,Universidade do Algarve,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,n/a,R/A-Ef 2337/2011,Ciências da Educação e da Formação,9821,180,CNA,6 Semestres,L1,142,47,33,4,0,0,2,0,0,2,4,2,12,47
Público,Universitário,0200,0201,Universidade do Algarve,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,n/a,R/A-Ef 2340/2011,Línguas e Comunicação Intercultural,L252,180,CNA,6 Semestres,L1,222,57,32,5,0,0,2,0,0,10,4,3,21,56
